Medicare Advantage Monthly Capitation Rates for 2026 for All Plans except PACE Plans,,,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $6.00.
2. All rates include MIPPA IME deduction.",,,,,,
Code,State,County Name,Parts A&B 5% Bonus 2026 Rate,Parts A&B 3.5% Bonus 2026 Rate,Parts A&B 0% Bonus 2026 Rate,Parts A&B ESRD 2026 Rate
04160,ARKANSAS,CRAWFORD,"1,285.45","1,254.60","1,182.61","8,814.02"
04170,ARKANSAS,CRITTENDEN,"1,294.48","1,277.22","1,236.95","8,814.02"
04180,ARKANSAS,CROSS,"1,250.18","1,233.90","1,192.17","8,814.02"
04190,ARKANSAS,DALLAS,"1,364.87","1,344.90","1,298.29","8,814.02"
04200,ARKANSAS,DESHA,"1,399.61","1,378.62","1,329.63","8,814.02"
04210,ARKANSAS,DREW,"1,294.66","1,277.30","1,234.11","8,814.02"
04220,ARKANSAS,FAULKNER,"1,285.00","1,267.86","1,227.89","8,814.02"
04230,ARKANSAS,FRANKLIN,"1,313.71","1,297.29","1,258.97","8,814.02"
04240,ARKANSAS,FULTON,"1,255.12","1,255.12","1,225.44","8,814.02"
04250,ARKANSAS,GARLAND,"1,258.12","1,258.12","1,222.72","8,814.02"
04260,ARKANSAS,GRANT,"1,314.37","1,296.85","1,255.95","8,814.02"
04270,ARKANSAS,GREENE,"1,253.70","1,251.93","1,209.59","8,814.02"
04280,ARKANSAS,HEMPSTEAD,"1,280.57","1,262.28","1,219.59","8,814.02"
04290,ARKANSAS,HOT SPRING,"1,187.50","1,187.50","1,187.50","8,814.02"
04300,ARKANSAS,HOWARD,"1,286.95","1,268.57","1,225.67","8,814.02"
04310,ARKANSAS,INDEPENDENCE,"1,158.30","1,158.30","1,158.30","8,814.02"
04320,ARKANSAS,IZARD,"1,227.93","1,210.39","1,169.46","8,814.02"
04330,ARKANSAS,JACKSON,"1,235.66","1,218.01","1,176.82","8,814.02"
04340,ARKANSAS,JEFFERSON,"1,244.62","1,244.62","1,244.62","8,814.02"
04350,ARKANSAS,JOHNSON,"1,227.20","1,211.86","1,176.07","8,814.02"
04360,ARKANSAS,LAFAYETTE,"1,274.90","1,274.61","1,231.51","8,814.02"
