Medicare Advantage Monthly Capitation Rates for 2026 for All PACE Plans,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $6.00.",,,,
Code,State,County Name,Parts A&B 2026 Rate,Parts A&B ESRD 2026 Rate
06560,COLORADO,SAN MIGUEL,"1,451.58","9,041.52"
06570,COLORADO,SEDGWICK,"1,613.75","9,041.52"
06580,COLORADO,SUMMIT,"1,407.60","9,041.52"
06590,COLORADO,TELLER,"1,396.41","9,041.52"
06600,COLORADO,WASHINGTON,"1,423.54","9,041.52"
06610,COLORADO,WELD,"1,396.41","9,041.52"
06620,COLORADO,YUMA,"1,782.47","9,041.52"
06630,COLORADO,BROOMFIELD,"1,396.41","9,041.52"
07000,CONNECTICUT,FAIRFIELD,"1,443.76","10,934.23"
07010,CONNECTICUT,HARTFORD,"1,396.41","10,934.23"
07020,CONNECTICUT,LITCHFIELD,"1,396.41","10,934.23"
07030,CONNECTICUT,MIDDLESEX,"1,396.41","10,934.23"
07040,CONNECTICUT,NEW HAVEN,"1,453.12","10,934.23"
07050,CONNECTICUT,NEW LONDON,"1,396.41","10,934.23"
07060,CONNECTICUT,TOLLAND,"1,402.74","10,934.23"
07070,CONNECTICUT,WINDHAM,"1,396.41","10,934.23"
08000,DELAWARE,KENT,"1,267.68","9,688.82"
08010,DELAWARE,NEW CASTLE,"1,396.41","9,688.82"
08020,DELAWARE,SUSSEX,"1,350.75","9,688.82"
09000,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,"1,661.96","10,795.16"
10000,FLORIDA,ALACHUA,"1,318.68","10,242.30"
10010,FLORIDA,BAKER,"1,401.75","10,242.30"
10020,FLORIDA,BAY,"1,406.33","10,242.30"
10030,FLORIDA,BRADFORD,"1,351.05","10,242.30"
10040,FLORIDA,BREVARD,"1,396.41","10,242.30"
10050,FLORIDA,BROWARD,"1,760.28","10,242.30"
10060,FLORIDA,CALHOUN,"1,285.71","10,242.30"
10070,FLORIDA,CHARLOTTE,"1,299.80","10,242.30"
10080,FLORIDA,CITRUS,"1,082.13","10,242.30"
10090,FLORIDA,CLAY,"1,355.87","10,242.30"
10100,FLORIDA,COLLIER,"1,396.41","10,242.30"
10110,FLORIDA,COLUMBIA,"1,396.00","10,242.30"
10120,FLORIDA,MIAMI-DADE,"2,432.06","10,242.30"
10130,FLORIDA,DESOTO,"1,504.80","10,242.30"
10140,FLORIDA,DIXIE,"1,438.44","10,242.30"
10150,FLORIDA,DUVAL,"1,421.12","10,242.30"
10160,FLORIDA,ESCAMBIA,"1,396.41","10,242.30"
10170,FLORIDA,FLAGLER,"1,396.41","10,242.30"
10180,FLORIDA,FRANKLIN,"1,745.74","10,242.30"
